x	RungeKutta4	SoluciónExacta	Error
3.68	142.188	142.219	0.0304771
3.69	144.045	144.075	0.0305599
3.7	145.924	145.955	0.0306428
3.71	147.827	147.858	0.0307256
3.72	149.753	149.784	0.0308084
3.73	151.702	151.733	0.0308912
3.74	153.676	153.706	0.030974
3.75	155.673	155.704	0.0310569
3.76	157.695	157.726	0.0311397
3.77	159.742	159.773	0.0312225
3.78	161.813	161.845	0.0313053
3.79	163.91	163.942	0.0313881
3.8	166.033	166.065	0.031471
3.81	168.182	168.213	0.0315538
3.82	170.356	170.388	0.0316366
3.83	172.558	172.59	0.0317194
3.84	174.786	174.818	0.0318022
3.85	177.041	177.073	0.031885
3.86	179.324	179.356	0.0319679
3.87	181.635	181.667	0.0320507
3.88	183.974	184.006	0.0321335
3.89	186.341	186.373	0.0322163
3.9	188.737	188.77	0.0322991
3.91	191.163	191.195	0.032382
3.92	193.617	193.65	0.0324648
3.93	196.102	196.134	0.0325476
3.94	198.617	198.649	0.0326304
3.95	201.162	201.195	0.0327132
3.96	203.738	203.771	0.032796
3.97	206.346	206.379	0.0328789
3.98	208.985	209.018	0.0329617
3.99	211.656	211.689	0.0330445
4	214.359	214.393	0.0331273
4.01	217.096	217.129	0.0332101
4.02	219.865	219.898	0.033293
4.03	222.668	222.701	0.0333758
4.04	225.505	225.538	0.0334586
4.05	228.376	228.41	0.0335414
4.06	231.282	231.316	0.0336242
4.07	234.223	234.257	0.033707
4.08	237.2	237.234	0.0337899
4.09	240.212	240.246	0.0338727
4.1	243.261	243.295	0.0339555
4.11	246.347	246.381	0.0340383
4.12	249.47	249.504	0.0341211
4.13	252.631	252.665	0.034204
4.14	255.829	255.864	0.0342868
4.15	259.067	259.101	0.0343696
4.16	262.343	262.378	0.0344524
4.17	265.659	265.693	0.0345352
4.18	269.015	269.049	0.034618
4.19	272.411	272.445	0.0347009
4.2	275.848	275.883	0.0347837
4.21	279.326	279.361	0.0348665
4.22	282.846	282.881	0.0349493
4.23	286.409	286.444	0.0350321
4.24	290.014	290.049	0.035115
4.25	293.663	293.698	0.0351978
4.26	297.355	297.391	0.0352806
4.27	301.092	301.127	0.0353634
4.28	304.874	304.909	0.0354462
4.29	308.701	308.736	0.035529
4.3	312.574	312.609	0.0356119
4.31	316.493	316.529	0.0356947
4.32	320.459	320.495	0.0357775
4.33	324.473	324.509	0.0358603
4.34	328.535	328.571	0.0359431
4.35	332.645	332.681	0.036026
4.36	336.805	336.841	0.0361088
4.37	341.014	341.051	0.0361916
4.38	345.274	345.311	0.0362744
4.39	349.585	349.621	0.0363572
4.4	353.947	353.984	0.03644
4.41	358.362	358.398	0.0365229
4.42	362.829	362.866	0.0366057
4.43	367.349	367.386	0.0366885
4.44	371.924	371.961	0.0367713
4.45	376.553	376.59	0.0368541
4.46	381.237	381.274	0.036937
4.47	385.978	386.015	0.0370198
4.48	390.774	390.811	0.0371026
4.49	395.628	395.665	0.0371854
4.5	400.54	400.577	0.0372682
4.51	405.51	405.547	0.037351
4.52	410.539	410.577	0.0374339
4.53	415.629	415.666	0.0375167
4.54	420.779	420.816	0.0375995
4.55	425.99	426.027	0.0376823
4.56	431.263	431.301	0.0377651
4.57	436.599	436.637	0.037848
4.58	441.998	442.036	0.0379308
4.59	447.461	447.499	0.0380136
4.6	452.99	453.028	0.0380964
4.61	458.584	458.622	0.0381792
4.62	464.244	464.282	0.038262
4.63	469.972	470.01	0.0383449
4.64	475.767	475.806	0.0384277
4.65	481.632	481.67	0.0385105
4.66	487.566	487.604	0.0385933
4.67	493.57	493.608	0.0386761
4.68	499.645	499.684	0.038759
4.69	505.793	505.831	0.0388418
4.7	512.013	512.052	0.0389246
4.71	518.307	518.346	0.0390074
4.72	524.675	524.714	0.0390902
4.73	531.119	531.158	0.0391731
4.74	537.639	537.678	0.0392559
4.75	544.236	544.275	0.0393387
4.76	550.911	550.951	0.0394215
4.77	557.665	557.705	0.0395043
4.78	564.499	564.539	0.0395871
