x	RungeKutta4	SoluciónExacta	Error
7.79	0.119328	0.119793	0.000465103
7.8	0.119195	0.11966	0.000464583
7.81	0.119062	0.119526	0.000464065
7.82	0.118929	0.119393	0.000463548
7.83	0.118797	0.11926	0.000463031
7.84	0.118665	0.119127	0.000462516
7.85	0.118533	0.118995	0.000462002
7.86	0.118401	0.118863	0.000461489
7.87	0.11827	0.118731	0.000460977
7.88	0.118139	0.118599	0.000460466
7.89	0.118008	0.118468	0.000459957
7.9	0.117878	0.118337	0.000459448
7.91	0.117747	0.118206	0.00045894
7.92	0.117617	0.118076	0.000458433
7.93	0.117488	0.117945	0.000457928
7.94	0.117358	0.117815	0.000457423
7.95	0.117229	0.117686	0.000456919
7.96	0.1171	0.117556	0.000456417
7.97	0.116971	0.117427	0.000455915
7.98	0.116843	0.117298	0.000455415
7.99	0.116715	0.11717	0.000454915
8	0.116587	0.117041	0.000454417
8.01	0.116459	0.116913	0.000453919
8.02	0.116332	0.116785	0.000453423
8.03	0.116205	0.116658	0.000452927
8.04	0.116078	0.11653	0.000452433
8.05	0.115951	0.116403	0.000451939
8.06	0.115825	0.116276	0.000451447
8.07	0.115699	0.11615	0.000450955
8.08	0.115573	0.116023	0.000450465
8.09	0.115447	0.115897	0.000449975
8.1	0.115322	0.115771	0.000449487
8.11	0.115197	0.115646	0.000448999
8.12	0.115072	0.115521	0.000448513
8.13	0.114948	0.115396	0.000448027
8.14	0.114823	0.115271	0.000447543
8.15	0.114699	0.115146	0.000447059
8.16	0.114575	0.115022	0.000446577
8.17	0.114452	0.114898	0.000446095
8.18	0.114328	0.114774	0.000445614
8.19	0.114205	0.11465	0.000445135
8.2	0.114083	0.114527	0.000444656
8.21	0.11396	0.114404	0.000444178
8.22	0.113838	0.114281	0.000443701
8.23	0.113716	0.114159	0.000443226
8.24	0.113594	0.114036	0.000442751
8.25	0.113472	0.113914	0.000442277
8.26	0.113351	0.113793	0.000441804
8.27	0.11323	0.113671	0.000441332
8.28	0.113109	0.11355	0.00044086
8.29	0.112988	0.113428	0.00044039
8.3	0.112868	0.113308	0.000439921
8.31	0.112748	0.113187	0.000439453
8.32	0.112628	0.113067	0.000438985
8.33	0.112508	0.112946	0.000438519
8.34	0.112389	0.112827	0.000438053
8.35	0.112269	0.112707	0.000437589
8.36	0.11215	0.112587	0.000437125
8.37	0.112032	0.112468	0.000436662
8.38	0.111913	0.112349	0.0004362
8.39	0.111795	0.112231	0.00043574
8.4	0.111677	0.112112	0.00043528
8.41	0.111559	0.111994	0.00043482
8.42	0.111441	0.111876	0.000434362
8.43	0.111324	0.111758	0.000433905
8.44	0.111207	0.111641	0.000433448
8.45	0.11109	0.111523	0.000432993
8.46	0.110974	0.111406	0.000432538
8.47	0.110857	0.111289	0.000432085
8.48	0.110741	0.111173	0.000431632
8.49	0.110625	0.111056	0.00043118
8.5	0.110509	0.11094	0.000430729
8.51	0.110394	0.110824	0.000430279
8.52	0.110279	0.110708	0.000429829
8.53	0.110163	0.110593	0.000429381
8.54	0.110049	0.110478	0.000428933
8.55	0.109934	0.110363	0.000428487
8.56	0.10982	0.110248	0.000428041
8.57	0.109706	0.110133	0.000427596
8.58	0.109592	0.110019	0.000427152
8.59	0.109478	0.109905	0.000426709
8.6	0.109364	0.109791	0.000426267
8.61	0.109251	0.109677	0.000425825
8.62	0.109138	0.109564	0.000425384
8.63	0.109025	0.10945	0.000424945
8.64	0.108913	0.109337	0.000424506
8.65	0.1088	0.109224	0.000424068
8.66	0.108688	0.109112	0.000423631
8.67	0.108576	0.108999	0.000423194
8.68	0.108464	0.108887	0.000422759
8.69	0.108353	0.108775	0.000422324
8.7	0.108242	0.108664	0.00042189
8.71	0.108131	0.108552	0.000421457
8.72	0.10802	0.108441	0.000421025
8.73	0.107909	0.10833	0.000420594
8.74	0.107799	0.108219	0.000420163
8.75	0.107688	0.108108	0.000419734
8.76	0.107578	0.107998	0.000419305
8.77	0.107469	0.107887	0.000418877
8.78	0.107359	0.107777	0.00041845
8.79	0.10725	0.107668	0.000418023
8.8	0.10714	0.107558	0.000417598
8.81	0.107031	0.107449	0.000417173
8.82	0.106923	0.107339	0.000416749
8.83	0.106814	0.10723	0.000416326
8.84	0.106706	0.107122	0.000415904
8.85	0.106598	0.107013	0.000415482
8.86	0.10649	0.106905	0.000415062
8.87	0.106382	0.106797	0.000414642
8.88	0.106274	0.106689	0.000414223
8.89	0.106167	0.106581	0.000413804
8.9	0.10606	0.106473	0.000413387
8.91	0.105953	0.106366	0.00041297
8.92	0.105846	0.106259	0.000412554
8.93	0.10574	0.106152	0.000412139
8.94	0.105634	0.106045	0.000411725
8.95	0.105527	0.105939	0.000411311
8.96	0.105422	0.105832	0.000410899
8.97	0.105316	0.105726	0.000410487
8.98	0.10521	0.10562	0.000410075
8.99	0.105105	0.105515	0.000409665
9	0.105	0.105409	0.000409255
9.01	0.104895	0.105304	0.000408846
9.02	0.10479	0.105199	0.000408438
9.03	0.104686	0.105094	0.000408031
9.04	0.104582	0.104989	0.000407624
9.05	0.104477	0.104885	0.000407219
9.06	0.104374	0.10478	0.000406814
9.07	0.10427	0.104676	0.000406409
9.08	0.104166	0.104572	0.000406006
9.09	0.104063	0.104469	0.000405603
9.1	0.10396	0.104365	0.000405201
9.11	0.103857	0.104262	0.0004048
9.12	0.103754	0.104159	0.000404399
9.13	0.103652	0.104056	0.000404
9.14	0.103549	0.103953	0.000403601
9.15	0.103447	0.10385	0.000403202
9.16	0.103345	0.103748	0.000402805
9.17	0.103243	0.103646	0.000402408
9.18	0.103142	0.103544	0.000402012
9.19	0.10304	0.103442	0.000401617
9.2	0.102939	0.10334	0.000401222
9.21	0.102838	0.103239	0.000400828
9.22	0.102737	0.103138	0.000400435
9.23	0.102636	0.103036	0.000400043
9.24	0.102536	0.102936	0.000399651
9.25	0.102436	0.102835	0.00039926
9.26	0.102336	0.102734	0.00039887
9.27	0.102236	0.102634	0.000398481
9.28	0.102136	0.102534	0.000398092
9.29	0.102036	0.102434	0.000397704
9.3	0.101937	0.102334	0.000397317
9.31	0.101838	0.102235	0.00039693
9.32	0.101739	0.102135	0.000396544
9.33	0.10164	0.102036	0.000396159
9.34	0.101541	0.101937	0.000395774
9.35	0.101443	0.101838	0.000395391
9.36	0.101345	0.10174	0.000395008
9.37	0.101246	0.101641	0.000394625
9.38	0.101149	0.101543	0.000394244
9.39	0.101051	0.101445	0.000393863
9.4	0.100953	0.101347	0.000393482
9.41	0.100856	0.101249	0.000393103
9.42	0.100759	0.101151	0.000392724
9.43	0.100662	0.101054	0.000392346
9.44	0.100565	0.100957	0.000391968
9.45	0.100468	0.10086	0.000391592
